"PVWatts: Hourly PV Performance Data"
"Requested Location:","Stockton, CA"
"Location:","Lat, Lon: 37.97, -121.3"
"Lat (deg N):","37.97"
"Long (deg W):","121.3"
"Elev (m):","3"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","2","0","8","0","0"
"1","1","1","0","0","7","3","0","7","0","0"
"1","1","2","0","0","7","3","0","7","0","0"
"1","1","3","0","0","6","3","0","6","0","0"
"1","1","4","0","0","6","4","0","6","0","0"
"1","1","5","0","0","6","5","0","6","0","0"
"1","1","6","0","0","7","5","0","7","0","0"
"1","1","7","0","0","7","5","0","7","0","0"
"1","1","8","0","13","8","6","12.302","6.938","45.868","24.626"
"1","1","9","0","29","8","7","27.484","7.3","102.315","80.019"
"1","1","10","0","28","9","7","26.547","8.309","98.395","76.173"
"1","1","11","0","79","10","6","75.08","10.102","276.103","250.375"
"1","1","12","0","32","9","6","30.357","8.365","112.487","89.998"
"1","1","13","0","69","8","7","65.544","7.933","243.331","218.272"
"1","1","14","0","20","7","8","18.948","6.278","70.85","49.145"
"1","1","15","0","19","7","9","17.99","6.282","67.269","45.631"
"1","1","16","0","0","7","8","0","7","0","0"
"1","1","17","0","0","7","7","0","7","0","0"
"1","1","18","0","0","7","6","0","7","0","0"
"1","1","19","0","0","8","4","0","8","0","0"
"1","1","20","0","0","8","3","0","8","0","0"
"1","1","21","0","0","8","2","0","8","0","0"
"1","1","22","0","0","8","2","0","8","0","0"
"1","1","23","0","0","8","2","0","8","0","0"
"1","2","0","0","0","8","2","0","8","0","0"
"1","2","1","0","0","8","2","0","8","0","0"
"1","2","2","0","0","8","2","0","8","0","0"
"1","2","3","0","0","8","2","0","8","0","0"
"1","2","4","0","0","8","3","0","8","0","0"
"1","2","5","0","0","8","3","0","8","0","0"
"1","2","6","0","0","8","3","0","8","0","0"
"1","2","7","0","0","8","3","0","8","0","0"
"1","2","8","0","5","9","3","4.728","7.267","17.602","0"
"1","2","9","0","18","9","3","17.048","7.587","63.386","41.82"
"1","2","10","0","41","10","3","38.896","9.181","143.616","120.53"
"1","2","11","0","18","11","3","17.065","9.716","62.864","41.307"
"1","2","12","0","91","11","2","86.849","11.411","317.548","290.961"
"1","2","13","0","60","11","1","56.973","10.817","208.857","184.49"
"1","2","14","0","25","10","1","23.691","8.489","87.741","65.72"
"1","2","15","0","57","9","3","54.93","8.584","203.349","179.092"
"1","2","16","0","12","8","4","11.36","6.72","42.396","21.218"
"1","2","17","0","0","8","3","0","8","0","0"
"1","2","18","0","0","7","1","0","7","0","0"
"1","2","19","0","0","6","1","0","6","0","0"
"1","2","20","0","0","6","1","0","6","0","0"
"1","2","21","0","0","6","1","0","6","0","0"
"1","2","22","0","0","6","1","0","6","0","0"
"1","2","23","0","0","5","1","0","5","0","0"
"1","3","0","0","0","5","1","0","5","0","0"
"1","3","1","0","0","5","1","0","5","0","0"
"1","3","2","0","0","5","1","0","5","0","0"
"1","3","3","0","0","5","1","0","5","0","0"
"1","3","4","0","0","5","2","0","5","0","0"
"1","3","5","0","0","5","3","0","5","0","0"
"1","3","6","0","0","6","3","0","6","0","0"
"1","3","7","0","0","6","3","0","6","0","0"
"1","3","8","62","67","7","3","101.223","7.648","366.57","338.946"
"1","3","9","0","44","8","3","41.737","7.459","155.268","131.956"
"1","3","10","0","28","10","4","26.548","9.054","98.076","75.86"
"1","3","11","51","200","11","5","251.94","14.599","907.015","866.471"
"1","3","12","96","215","11","5","304.096","15.997","1087.303","1041.846"
"1","3","13","0","37","11","4","35.099","10.836","128.659","105.861"
"1","3","14","0","102","11","4","99.84","11.692","364.592","337.01"
"1","3","15","0","40","10","3","37.94","9.387","139.959","116.943"
"1","3","16","0","3","10","3","2.835","8.342","10.505","0"
"1","3","17","0","0","9","3","0","9","0","0"
"1","3","18","0","0","9","3","0","9","0","0"
"1","3","19","0","0","9","4","0","9","0","0"
"1","3","20","0","0","9","4","0","9","0","0"
"1","3","21","0","0","9","3","0","9","0","0"
"1","3","22","0","0","9","3","0","9","0","0"
"1","3","23","0","0","9","3","0","9","0","0"
"1","4","0","0","0","9","2","0","9","0","0"
"1","4","1","0","0","9","1","0","9","0","0"
"1","4","2","0","0","8","1","0","8","0","0"
"1","4","3","0","0","8","1","0","8","0","0"
"1","4","4","0","0","8","1","0","8","0","0"
"1","4","5","0","0","8","1","0","8","0","0"
"1","4","6","0","0","8","1","0","8","0","0"
