"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Rafael, CA"
"Location:","Lat, Lon: 37.97, -122.54"
"Lat (deg N):","37.97"
"Long (deg W):","122.54"
"Elev (m):","59.599998474121"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","9","2","0","9","0","0"
"1","1","1","0","0","9","2","0","9","0","0"
"1","1","2","0","0","8","2","0","8","0","0"
"1","1","3","0","0","8","3","0","8","0","0"
"1","1","4","0","0","8","3","0","8","0","0"
"1","1","5","0","0","9","4","0","9","0","0"
"1","1","6","0","0","9","4","0","9","0","0"
"1","1","7","0","0","10","5","0","10","0","0"
"1","1","8","0","3","11","6","2.836","9.797","2.611","0"
"1","1","9","0","14","11","7","13.256","10.084","12.188","6.864"
"1","1","10","0","103","12","6","99.813","12.542","90.781","83.893"
"1","1","11","0","29","12","6","27.506","11.376","25.146","19.58"
"1","1","12","0","58","12","5","55.078","11.735","50.273","44.22"
"1","1","13","0","7","12","5","6.632","10.825","6.078","0.866"
"1","1","14","0","40","12","4","37.937","11.259","34.701","28.953"
"1","1","15","0","8","13","3","7.569","11.515","6.915","1.688"
"1","1","16","0","8","12","2","7.567","10.167","6.954","1.727"
"1","1","17","0","0","11","2","0","11","0","0"
"1","1","18","0","0","10","2","0","10","0","0"
"1","1","19","0","0","10","2","0","10","0","0"
"1","1","20","0","0","10","1","0","10","0","0"
"1","1","21","0","0","10","1","0","10","0","0"
"1","1","22","0","0","10","1","0","10","0","0"
"1","1","23","0","0","10","1","0","10","0","0"
"1","2","0","0","0","10","1","0","10","0","0"
"1","2","1","0","0","10","1","0","10","0","0"
"1","2","2","0","0","10","1","0","10","0","0"
"1","2","3","0","0","10","1","0","10","0","0"
"1","2","4","0","0","9","1","0","9","0","0"
"1","2","5","0","0","9","1","0","9","0","0"
"1","2","6","0","0","9","1","0","9","0","0"
"1","2","7","0","0","9","1","0","9","0","0"
"1","2","8","0","31","9","2","29.393","7.693","27.309","21.702"
"1","2","9","68","124","9","3","169.828","11.449","153.817","145.509"
"1","2","10","0","57","10","3","54.113","9.983","49.775","43.732"
"1","2","11","0","70","10","4","66.502","9.976","61.173","54.902"
"1","2","12","0","81","10","4","76.989","10.238","70.738","64.271"
"1","2","13","33","179","10","3","213.913","13.669","193.332","184.058"
"1","2","14","0","104","10","3","101.82","11.286","93.123","86.185"
"1","2","15","79","93","10","3","142.123","11.972","127.264","119.573"
"1","2","16","0","1","10","3","0.945","8.585","0.874","0"
"1","2","17","0","0","9","3","0","9","0","0"
"1","2","18","0","0","9","3","0","9","0","0"
"1","2","19","0","0","9","3","0","9","0","0"
"1","2","20","0","0","8","2","0","8","0","0"
"1","2","21","0","0","8","2","0","8","0","0"
"1","2","22","0","0","7","2","0","7","0","0"
"1","2","23","0","0","7","1","0","7","0","0"
"1","3","0","0","0","7","1","0","7","0","0"
"1","3","1","0","0","7","1","0","7","0","0"
"1","3","2","0","0","7","1","0","7","0","0"
"1","3","3","0","0","7","2","0","7","0","0"
"1","3","4","0","0","7","2","0","7","0","0"
"1","3","5","0","0","8","2","0","8","0","0"
"1","3","6","0","0","9","2","0","9","0","0"
"1","3","7","0","0","9","2","0","9","0","0"
"1","3","8","0","42","9","3","40.35","8.155","37.413","31.613"
"1","3","9","0","15","10","3","14.203","8.632","13.142","7.801"
"1","3","10","0","103","11","3","99.783","11.697","91.094","84.2"
"1","3","11","0","77","12","4","73.173","12.251","66.638","60.255"
"1","3","12","0","125","12","4","121.609","13.274","110.245","102.934"
"1","3","13","0","68","12","4","64.593","12.107","58.861","52.636"
"1","3","14","0","47","12","4","44.593","11.535","40.739","34.874"
"1","3","15","33","91","12","4","112.446","13.007","101.101","93.991"
"1","3","16","0","8","11","4","7.566","9.798","6.966","1.738"
"1","3","17","0","0","11","3","0","11","0","0"
"1","3","18","0","0","11","3","0","11","0","0"
"1","3","19","0","0","12","3","0","12","0","0"
"1","3","20","0","0","12","3","0","12","0","0"
"1","3","21","0","0","12","2","0","12","0","0"
"1","3","22","0","0","12","2","0","12","0","0"
"1","3","23","0","0","12","2","0","12","0","0"
"1","4","0","0","0","12","2","0","12","0","0"
"1","4","1","0","0","12","2","0","12","0","0"
"1","4","2","0","0","12","2","0","12","0","0"
"1","4","3","0","0","11","2","0","11","0","0"
"1","4","4","0","0","11","1","0","11","0","0"
"1","4","5","0","0","11","1","0","11","0","0"
"1","4","6","0","0","11","1","0","11","0","0"
"1","4","7","0","0","11","1","0","11","0","0"
"1","4","8","363","57","11","1","211.209","15.509","175.142","166.32"
"1","4","9","605","80","12","1","435.562","24.746","363","348.92"
"1","4","10","770","76","13","1","618.294","32.28","505.969","487.008"
"1","4","11","808","82","14","1","711.753","36.751","573.46","551.93"
"1","4","12","815","83","15","1","730.924","38.639","583.96","562.016"
"1","4","13","802","78","15","1","678.977","37.236","544.526","524.119"
"1","4","14","744","70","15","1","551.504","33.311","445.825","429.01"
"1","4","15","625","55","14","1","367.064","26.231","296.63","284.558"
"1","4","16","189","29","12","1","97.014","14.743","77.722","71.11"
"1","4","17","0","0","11","2","0","11","0","0"
"1","4","18","0","0","10","2","0","10","0","0"
"1","4","19","0","0","10","2","0","10","0","0"
"1","4","20","0","0","9","2","0","9","0","0"
"1","4","21","0","0","9","2","0","9","0","0"
"1","4","22","0","0","9","2","0","9","0","0"
"1","4","23","0","0","8","2","0","8","0","0"
"1","5","0","0","0","8","2","0","8","0","0"
"1","5","1","0","0","8","2","0","8","0","0"
"1","5","2","0","0","8","2","0","8","0","0"
"1","5","3","0","0","8","2","0","8","0","0"
"1","5","4","0","0","8","2","0","8","0","0"
"1","5","5","0","0","7","2","0","7","0","0"
"1","5","6","0","0","7","2","0","7","0","0"
"1","5","7","0","0","7","2","0","7","0","0"
"1","5","8","49","61","8","2","83.771","8.217","75.64","69.071"
"1","5","9","200","124","9","2","255.638","14.333","226.605","216.473"
"1","5","10","740","77","11","2","599.608","26.15","505.398","486.458"
"1","5","11","627","124","12","2","629.625","29.018","527.317","507.562"
"1","5","12","441","179","12","2","556.584","27.216","471.09","453.39"
"1","5","13","519","144","13","2","552.136","27.836","464.526","447.058"
"1","5","14","256","149","13","2","333.346","22.046","286.972","275.178"
"1","5","15","555","59","12","1","340.554","22.389","281.033","269.408"
"1","5","16","212","32","10","1","107.333","12.931","86.557","79.759"
"1","5","17","0","0","9","2","0","9","0","0"
"1","5","18","0","0","9","2","0","9","0","0"
"1","5","19","0","0","8","2","0","8","0","0"
"1","5","20","0","0","8","1","0","8","0","0"
"1","5","21","0","0","8","1","0","8","0","0"
"1","5","22","0","0","8","1","0","8","0","0"
"1","5","23","0","0","8","1","0","8","0","0"
"1","6","0","0","0","8","1","0","8","0","0"
"1","6","1","0","0","8","1","0","8","0","0"
"1","6","2","0","0","8","1","0","8","0","0"
"1","6","3","0","0","8","1","0","8","0","0"
"1","6","4","0","0","8","1","0","8","0","0"
"1","6","5","0","0","7","1","0","7","0","0"
"1","6","6","0","0","7","1","0","7","0","0"
"1","6","7","0","0","7","1","0","7","0","0"
"1","6","8","252","57","8","1","169.782","11.103","145.163","137.058"
"1","6","9","419","100","9","0","354.102","22.394","299.79","287.625"
"1","6","10","837","72","11","0","659.2","36.253","528.912","509.097"
"1","6","11","878","75","12","0","757.09","42.156","593.56","571.233"
"1","6","12","885","75","14","0","771.256","44.985","596.524","574.078"
"1","6","13","868","70","15","0","714.499","44.262","552.929","532.199"
"1","6","14","812","62","15","0","587.322","39.985","459.275","441.992"
"1","6","15","686","51","14","0","391.592","31.838","307.894","295.492"
"1","6","16","376","28","13","0","149.602","20.667","112.59","105.228"
"1","6","17","0","0","11","1","0","11","0","0"
"1","6","18","0","0","10","1","0","10","0","0"
"1","6","19","0","0","10","1","0","10","0","0"
"1","6","20","0","0","11","1","0","11","0","0"
"1","6","21","0","0","11","2","0","11","0","0"
"1","6","22","0","0","12","2","0","12","0","0"
"1","6","23","0","0","11","2","0","11","0","0"
"1","7","0","0","0","10","2","0","10","0","0"
"1","7","1","0","0","10","2","0","10","0","0"
"1","7","2","0","0","10","2","0","10","0","0"
"1","7","3","0","0","9","2","0","9","0","0"
"1","7","4","0","0","9","1","0","9","0","0"
"1","7","5","0","0","9","1","0","9","0","0"
"1","7","6","0","0","9","1","0","9","0","0"
"1","7","7","0","0","10","1","0","10","0","0"
"1","7","8","555","40","11","1","261.049","17.144","210.596","200.882"
"1","7","9","754","56","12","2","486.174","24.154","404.787","389.359"
"1","7","10","83","179","13","2","247.742","19.519","217.539","207.645"
"1","7","11","14","177","13","2","187.86","17.062","167.351","158.719"
"1","7","12","803","96","13","2","740.255","31.534","612.762","589.66"
"1","7","13","779","94","13","3","685.098","29.589","570.807","549.382"
"1","7","14","716","86","12","3","560.209","25.558","470.901","453.208"
"1","7","15","588","67","11","2","367.675","21.018","305.961","293.616"
"1","7","16","299","33","10","2","133.773","12.984","106.22","98.998"
"1","7","17","0","0","8","1","0","8","0","0"
"1","7","18","0","0","8","1","0","8","0","0"
"1","7","19","0","0","8","1","0","8","0","0"
"1","7","20","0","0","8","1","0","8","0","0"
"1","7","21","0","0","8","1","0","8","0","0"
"1","7","22","0","0","8","1","0","8","0","0"
"1","7","23","0","0","8","1","0","8","0","0"
"1","8","0","0","0","8","1","0","8","0","0"
"1","8","1","0","0","8","1","0","8","0","0"
"1","8","2","0","0","7","2","0","7","0","0"
"1","8","3","0","0","7","2","0","7","0","0"
"1","8","4","0","0","6","2","0","6","0","0"
"1","8","5","0","0","6","2","0","6","0","0"
"1","8","6","0","0","5","2","0","5","0","0"
"1","8","7","0","0","6","1","0","6","0","0"
"1","8","8","488","48","7","1","247.566","12.696","205.278","195.701"
"1","8","9","690","70","9","1","470.162","23.067","394.222","379.141"
"1","8","10","772","84","10","2","630.248","26.681","530.027","510.17"
"1","8","11","809","91","11","2","726.112","30.639","603.043","580.335"
"1","8","12","811","94","12","2","745.354","32.392","614.456","591.284"
"1","8","13","801","87","12","2","694.622","31.155","574.389","552.824"
"1","8","14","723","83","12","1","562.653","30.844","461.242","443.89"
"1","8","15","578","68","11","1","365.48","23.317","301.235","289.029"
"1","8","16","230","34","9","1","115.822","12.35","93.76","86.808"
"1","8","17","0","0","8","1","0","8","0","0"
"1","8","18","0","0","8","1","0","8","0","0"
"1","8","19","0","0","8","2","0","8","0","0"
"1","8","20","0","0","8","2","0","8","0","0"
"1","8","21","0","0","7","2","0","7","0","0"
"1","8","22","0","0","7","2","0","7","0","0"
"1","8","23","0","0","6","2","0","6","0","0"
"1","9","0","0","0","6","2","0","6","0","0"
"1","9","1","0","0","6","2","0","6","0","0"
"1","9","2","0","0","6","1","0","6","0","0"
"1","9","3","0","0","6","1","0","6","0","0"
"1","9","4","0","0","6","1","0","6","0","0"
"1","9","5","0","0","5","1","0","5","0","0"
"1","9","6","0","0","4","1","0","4","0","0"
"1","9","7","0","0","5","1","0","5","0","0"
"1","9","8","454","52","7","1","239.022","12.412","199.129","189.708"
"1","9","9","659","78","8","1","462.641","21.82","390.575","375.613"
"1","9","10","759","92","10","0","634.458","35.212","512.199","493.008"
"1","9","11","804","99","11","0","732.354","40.327","579.881","558.099"
"1","9","12","813","100","12","0","755.008","42.52","591.808","569.551"
"1","9","13","842","82","13","0","720.172","42.503","562.815","541.702"
"1","9","14","781","75","13","0","588.474","38.197","465.094","447.606"
"1","9","15","652","61","12","0","394.204","30.037","314.165","301.578"
"1","9","16","357","32","11","0","151.009","18.788","116.033","108.594"
"1","9","17","0","0","10","0","0","10","0","0"
"1","9","18","0","0","9","1","0","9","0","0"
"1","9","19","0","0","8","1","0","8","0","0"
"1","9","20","0","0","9","1","0","9","0","0"
"1","9","21","0","0","9","0","0","9","0","0"
"1","9","22","0","0","9","0","0","9","0","0"
"1","9","23","0","0","9","0","0","9","0","0"
"1","10","0","0","0","8","0","0","8","0","0"
"1","10","1","0","0","8","0","0","8","0","0"
"1","10","2","0","0","8","0","0","8","0","0"
"1","10","3","0","0","8","0","0","8","0","0"
"1","10","4","0","0","8","0","0","8","0","0"
"1","10","5","0","0","7","0","0","7","0","0"
"1","10","6","0","0","7","1","0","7","0","0"
"1","10","7","0","0","7","1","0","7","0","0"
"1","10","8","0","45","8","0","43.53","5.658","40.801","34.935"
"1","10","9","0","79","9","0","76.344","8.908","70.556","64.092"
"1","10","10","0","134","10","0","132.39","13.429","119.936","112.41"
"1","10","11","129","218","11","0","341.671","23.565","294.85","282.829"
"1","10","12","748","110","12","0","721.834","39.132","575.797","554.176"
"1","10","13","324","189","12","0","456.636","33.033","375.521","361.044"
"1","10","14","92","162","12","0","231.187","23.303","199.076","189.657"
"1","10","15","186","101","11","0","209.408","19.443","179.721","170.786"
"1","10","16","90","38","10","1","75.942","11.15","64.955","58.607"
"1","10","17","0","0","10","1","0","10","0","0"
"1","10","18","0","0","10","1","0","10","0","0"
"1","10","19","0","0","10","1","0","10","0","0"
"1","10","20","0","0","10","1","0","10","0","0"
"1","10","21","0","0","10","1","0","10","0","0"
"1","10","22","0","0","10","1","0","10","0","0"
"1","10","23","0","0","10","1","0","10","0","0"
"1","11","0","0","0","10","2","0","10","0","0"
"1","11","1","0","0","11","2","0","11","0","0"
"1","11","2","0","0","11","2","0","11","0","0"
"1","11","3","0","0","11","1","0","11","0","0"
"1","11","4","0","0","12","1","0","12","0","0"
"1","11","5","0","0","12","1","0","12","0","0"
"1","11","6","0","0","12","1","0","12","0","0"
"1","11","7","0","0","12","1","0","12","0","0"
"1","11","8","0","5","12","1","4.727","9.574","4.356","0"
"1","11","9","0","102","13","1","101.028","13.887","91.337","84.437"
"1","11","10","7","151","13","1","155.541","16.236","139.078","131.116"
"1","11","11","316","202","13","2","473.893","24.463","406.522","391.037"
"1","11","12","321","210","13","2","492.957","26.017","420.078","404.14"
"1","11","13","272","199","13","2","431.113","24.449","369.645","355.355"
"1","11","14","362","143","12","2","395.548","22.312","339.688","326.331"
"1","11","15","336","90","11","2","275.913","17.981","236.067","225.684"
"1","11","16","240","38","10","2","124.802","12.404","101.603","94.482"
"1","11","17","0","0","9","2","0","9","0","0"
"1","11","18","0","0","8","2","0","8","0","0"
"1","11","19","0","0","8","2","0","8","0","0"
"1","11","20","0","0","7","2","0","7","0","0"
"1","11","21","0","0","7","2","0","7","0","0"
"1","11","22","0","0","7","1","0","7","0","0"
"1","11","23","0","0","6","1","0","6","0","0"
"1","12","0","0","0","6","1","0","6","0","0"
"1","12","1","0","0","6","1","0","6","0","0"
"1","12","2","0","0","5","1","0","5","0","0"
"1","12","3","0","0","5","1","0","5","0","0"
"1","12","4","0","0","5","1","0","5","0","0"
"1","12","5","0","0","5","1","0","5","0","0"
"1","12","6","0","0","5","1","0","5","0","0"
"1","12","7","0","0","6","1","0","6","0","0"
"1","12","8","0","21","8","1","19.889","5.978","18.616","13.173"
"1","12","9","238","124","9","1","275.789","15.728","242.537","231.979"
"1","12","10","756","83","11","1","620.834","29.714","514.804","495.516"
"1","12","11","795","90","12","1","718.584","35.07","584.23","562.275"
"1","12","12","814","89","13","1","747.489","37.259","601.824","579.165"
"1","12","13","819","79","13","0","705.153","41.99","552.794","532.069"
