"PVWatts: Hourly PV Performance Data"
"Requested Location:","29 Palms, CA"
"Location:","Lat, Lon: 33.85, -116.54"
"Lat (deg N):","33.85"
"Long (deg W):","116.54"
"Elev (m):","163.55999755859"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.160"
"Capacity Factor (%)","19.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","2","1","0","2","0","0"
"1","1","1","0","0","2","1","0","2","0","0"
"1","1","2","0","0","1","1","0","1","0","0"
"1","1","3","0","0","1","2","0","1","0","0"
"1","1","4","0","0","1","2","0","1","0","0"
"1","1","5","0","0","1","2","0","1","0","0"
"1","1","6","0","0","2","2","0","2","0","0"
"1","1","7","448","32","5","3","177.34","7.53","567.428","535.319"
"1","1","8","720","58","8","4","426.022","16.231","1449.332","1393.095"
"1","1","9","837","71","11","4","631.679","24.26","2140.283","2060.093"
"1","1","10","894","77","13","4","767.515","29.561","2562.327","2465.322"
"1","1","11","913","80","14","4","831.446","32.168","2749.022","2644.051"
"1","1","12","906","80","15","3","816.626","34.777","2664.425","2563.104"
"1","1","13","875","75","15","3","729.831","32.752","2393.953","2303.854"
"1","1","14","804","66","14","2","565.966","29.724","1855.177","1785.408"
"1","1","15","651","50","11","1","342.439","22.619","1106.031","1060.046"
"1","1","16","231","18","8","1","86.397","10.242","266.7","241.165"
"1","1","17","0","0","6","1","0","6","0","0"
"1","1","18","0","0","5","1","0","5","0","0"
"1","1","19","0","0","4","1","0","4","0","0"
"1","1","20","0","0","4","1","0","4","0","0"
"1","1","21","0","0","3","1","0","3","0","0"
"1","1","22","0","0","3","1","0","3","0","0"
"1","1","23","0","0","3","1","0","3","0","0"
"1","2","0","0","0","3","1","0","3","0","0"
"1","2","1","0","0","3","1","0","3","0","0"
"1","2","2","0","0","2","1","0","2","0","0"
"1","2","3","0","0","2","1","0","2","0","0"
"1","2","4","0","0","2","1","0","2","0","0"
"1","2","5","0","0","2","1","0","2","0","0"
"1","2","6","0","0","3","1","0","3","0","0"
"1","2","7","451","31","6","1","176.603","9.317","559.474","527.549"
"1","2","8","727","55","11","2","425.54","21.266","1413.772","1358.648"
"1","2","9","842","67","14","3","629.945","28.5","2091.637","2013.278"
"1","2","10","896","74","16","3","765.625","34.094","2500.318","2405.887"
"1","2","11","916","78","17","3","832.12","36.906","2687.91","2585.582"
"1","2","12","910","78","18","3","818.489","37.721","2631.885","2531.95"
"1","2","13","876","75","18","3","731.967","35.72","2366.508","2277.51"
"1","2","14","800","67","17","2","566.304","32.654","1830.874","1761.959"
"1","2","15","643","52","14","1","342.591","25.55","1093.145","1047.524"
"1","2","16","249","17","11","1","89.911","13.37","271.936","246.294"
"1","2","17","0","0","9","1","0","9","0","0"
"1","2","18","0","0","8","1","0","8","0","0"
"1","2","19","0","0","7","1","0","7","0","0"
"1","2","20","0","0","7","1","0","7","0","0"
"1","2","21","0","0","7","1","0","7","0","0"
"1","2","22","0","0","6","1","0","6","0","0"
"1","2","23","0","0","6","1","0","6","0","0"
"1","3","0","0","0","6","1","0","6","0","0"
"1","3","1","0","0","6","1","0","6","0","0"
"1","3","2","0","0","6","1","0","6","0","0"
"1","3","3","0","0","6","1","0","6","0","0"
"1","3","4","0","0","6","1","0","6","0","0"
"1","3","5","0","0","7","1","0","7","0","0"
"1","3","6","0","0","7","1","0","7","0","0"
"1","3","7","165","38","10","1","101.625","10.821","338.95","311.913"
"1","3","8","434","84","14","1","315.783","22.425","1054.134","1009.603"
"1","3","9","280","166","17","1","372.054","28.202","1246.851","1196.794"
"1","3","10","465","180","19","1","567.647","36.288","1837.906","1768.745"
"1","3","11","504","191","20","2","636.569","36.861","2059.305","1982.151"
"1","3","12","374","219","21","2","549.514","35.833","1787.12","1719.728"
"1","3","13","528","154","21","2","570.64","36.106","1845.525","1776.096"
"1","3","14","377","136","19","1","391.971","31.956","1281.857","1230.759"
"1","3","15","667","48","16","0","349.991","30.875","1088.15","1042.669"
"1","3","16","283","17","14","0","97.489","19.233","284.486","258.586"
"1","3","17","0","0","13","1","0","13","0","0"
"1","3","18","0","0","11","1","0","11","0","0"
"1","3","19","0","0","10","1","0","10","0","0"
"1","3","20","0","0","10","1","0","10","0","0"
"1","3","21","0","0","10","1","0","10","0","0"
"1","3","22","0","0","10","1","0","10","0","0"
"1","3","23","0","0","10","1","0","10","0","0"
"1","4","0","0","0","10","1","0","10","0","0"
"1","4","1","0","0","11","1","0","11","0","0"
"1","4","2","0","0","12","1","0","12","0","0"
"1","4","3","0","0","12","1","0","12","0","0"
"1","4","4","0","0","12","1","0","12","0","0"
"1","4","5","0","0","13","1","0","13","0","0"
"1","4","6","0","0","13","1","0","13","0","0"
"1","4","7","38","37","14","0","54.424","12.446","190.386","166.386"
"1","4","8","193","107","17","0","219.071","23.988","736.887","700.703"
"1","4","9","312","162","20","1","387.755","31.197","1279.993","1228.951"
"1","4","10","408","193","22","1","539.466","38.446","1728.669","1663.283"
"1","4","11","477","199","23","1","624.28","42.503","1963.101","1889.476"
"1","4","12","448","210","24","1","609.039","43.381","1906.298","1834.717"
"1","4","13","468","169","23","1","545.018","40.519","1725.126","1659.861"
"1","4","14","382","134","21","0","393.471","38.28","1247.253","1197.184"
"1","4","15","589","61","18","0","334.854","32.31","1040.419","996.268"
"1","4","16","257","19","15","1","95.195","17.534","284.132","258.239"
"1","4","17","0","0","13","1","0","13","0","0"
"1","4","18","0","0","12","1","0","12","0","0"
"1","4","19","0","0","11","1","0","11","0","0"
"1","4","20","0","0","11","2","0","11","0","0"
"1","4","21","0","0","11","2","0","11","0","0"
"1","4","22","0","0","11","2","0","11","0","0"
"1","4","23","0","0","11","2","0","11","0","0"
"1","5","0","0","0","10","2","0","10","0","0"
"1","5","1","0","0","10","2","0","10","0","0"
"1","5","2","0","0","10","2","0","10","0","0"
"1","5","3","0","0","10","2","0","10","0","0"
"1","5","4","0","0","10","2","0","10","0","0"
"1","5","5","0","0","9","2","0","9","0","0"
"1","5","6","0","0","10","2","0","10","0","0"
"1","5","7","460","30","12","2","173.68","14.785","533.188","501.87"
"1","5","8","724","56","16","3","423.861","24.991","1383.471","1329.287"
"1","5","9","230","176","19","4","351.555","26.134","1191.337","1142.907"
"1","5","10","902","75","21","4","772.31","36.947","2487.036","2393.152"
"1","5","11","641","148","22","4","703.657","37.314","2270.271","2185.079"
"1","5","12","917","79","23","4","828.862","40.776","2625.098","2525.45"
"1","5","13","889","74","23","4","739.685","39.161","2351.5","2263.102"
"1","5","14","328","144","21","3","364.606","29.997","1205.415","1156.576"
"1","5","15","369","74","17","2","253.709","23.263","833.102","794.485"
"1","5","16","300","19","14","2","104.747","15.805","311.502","285.041"
"1","5","17","0","0","13","3","0","13","0","0"
"1","5","18","0","0","13","5","0","13","0","0"
"1","5","19","0","0","12","5","0","12","0","0"
"1","5","20","0","0","11","5","0","11","0","0"
"1","5","21","0","0","10","5","0","10","0","0"
"1","5","22","0","0","9","6","0","9","0","0"
"1","5","23","0","0","8","6","0","8","0","0"
"1","6","0","0","0","8","6","0","8","0","0"
"1","6","1","0","0","7","6","0","7","0","0"
"1","6","2","0","0","7","6","0","7","0","0"
"1","6","3","0","0","6","6","0","6","0","0"
"1","6","4","0","0","6","6","0","6","0","0"
"1","6","5","0","0","6","6","0","6","0","0"
"1","6","6","0","0","6","7","0","6","0","0"
"1","6","7","429","32","8","7","169.541","9.575","536.605","505.208"
"1","6","8","699","60","10","8","415.863","15.271","1420.455","1365.123"
"1","6","9","798","79","12","8","615.246","20.466","2122.346","2042.833"
"1","6","10","840","92","13","8","751.448","23.674","2580.685","2482.911"
"1","6","11","840","104","14","8","810.598","25.683","2765.818","2660.114"
