"PVWatts: Hourly PV Performance Data"
"Requested Location:","Marysville, CA"
"Location:","Lat, Lon: 39.13, -121.58"
"Lat (deg N):","39.13"
"Long (deg W):","121.58"
"Elev (m):","17.64999961853"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","17.5"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","1","0","0","0","0"
"1","1","1","0","0","0","1","0","0","0","0"
"1","1","2","0","0","0","2","0","0","0","0"
"1","1","3","0","0","0","2","0","0","0","0"
"1","1","4","0","0","0","3","0","0","0","0"
"1","1","5","0","0","0","3","0","0","0","0"
"1","1","6","0","0","0","2","0","0","0","0"
"1","1","7","0","0","1","2","0","1","0","0"
"1","1","8","412","55","1","2","229.125","5.294","792.588","755.006"
"1","1","9","643","77","1","2","452.199","12.342","1593.579","1532.708"
"1","1","10","0","54","2","2","51.256","2.964","194.401","170.322"
"1","1","11","0","73","3","2","69.358","2.943","263.079","237.619"
"1","1","12","0","80","3","2","76.032","3.205","288.074","262.099"
"1","1","13","6","150","3","2","154.231","5.46","578.524","546.157"
"1","1","14","36","133","3","2","163.231","6.01","608.65","575.574"
"1","1","15","0","24","3","2","22.734","2.038","86.566","64.567"
"1","1","16","0","14","3","2","13.261","1.223","50.667","29.337"
"1","1","17","0","0","3","2","0","3","0","0"
"1","1","18","0","0","3","2","0","3","0","0"
"1","1","19","0","0","3","2","0","3","0","0"
"1","1","20","0","0","3","2","0","3","0","0"
"1","1","21","0","0","4","2","0","4","0","0"
"1","1","22","0","0","4","2","0","4","0","0"
"1","1","23","0","0","4","2","0","4","0","0"
"1","2","0","0","0","4","1","0","4","0","0"
"1","2","1","0","0","4","1","0","4","0","0"
"1","2","2","0","0","4","1","0","4","0","0"
"1","2","3","0","0","4","1","0","4","0","0"
"1","2","4","0","0","4","1","0","4","0","0"
"1","2","5","0","0","4","1","0","4","0","0"
"1","2","6","0","0","4","0","0","4","0","0"
"1","2","7","0","0","4","0","0","4","0","0"
"1","2","8","0","25","5","0","23.689","1.611","90.364","68.293"
"1","2","9","0","64","6","0","60.971","4.704","229.533","204.752"
