"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Luis Obispo, CA"
"Location:","Lat, Lon: 35.29, -120.66"
"Lat (deg N):","35.29"
"Long (deg W):","120.66"
"Elev (m):","151.88000488281"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","19.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","1","0","8","0","0"
"1","1","1","0","0","8","1","0","8","0","0"
"1","1","2","0","0","9","2","0","9","0","0"
"1","1","3","0","0","9","2","0","9","0","0"
"1","1","4","0","0","9","2","0","9","0","0"
"1","1","5","0","0","9","2","0","9","0","0"
"1","1","6","0","0","9","2","0","9","0","0"
"1","1","7","0","2","10","2","1.889","7.937","7.014","0"
"1","1","8","0","16","11","3","15.146","9.566","55.829","34.403"
"1","1","9","0","33","11","4","31.286","10.115","115.047","92.509"
"1","1","10","0","26","12","5","24.655","11.141","90.255","68.186"
"1","1","11","0","57","12","6","54.135","11.748","197.639","173.495"
"1","1","12","0","43","12","7","40.819","11.593","149.127","125.934"
"1","1","13","0","36","12","8","34.155","11.516","124.825","102.1"
"1","1","14","0","16","12","8","15.158","11.228","55.467","34.048"
"1","1","15","0","80","12","8","79.253","12.161","288.814","262.825"
"1","1","16","0","13","12","8","12.307","11.227","45.035","23.808"
"1","1","17","0","0","12","8","0","12","0","0"
"1","1","18","0","0","12","8","0","12","0","0"
"1","1","19","0","0","13","7","0","13","0","0"
"1","1","20","0","0","13","6","0","13","0","0"
"1","1","21","0","0","12","4","0","12","0","0"
"1","1","22","0","0","11","2","0","11","0","0"
"1","1","23","0","0","11","2","0","11","0","0"
"1","2","0","0","0","11","1","0","11","0","0"
"1","2","1","0","0","10","1","0","10","0","0"
"1","2","2","0","0","10","1","0","10","0","0"
"1","2","3","0","0","10","1","0","10","0","0"
"1","2","4","0","0","10","1","0","10","0","0"
"1","2","5","0","0","10","2","0","10","0","0"
"1","2","6","0","0","10","3","0","10","0","0"
"1","2","7","0","1","11","5","0.944","9.63","3.48","0"
"1","2","8","0","11","11","7","10.408","10.036","38.287","17.184"
