"PVWatts: Hourly PV Performance Data"
"Requested Location:","Gilroy, CA"
"Location:","Lat, Lon: 37.01, -121.58"
"Lat (deg N):","37.01"
"Long (deg W):","121.58"
"Elev (m):","45.840000152588"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","1","0","6","0","0"
"1","1","1","0","0","6","1","0","6","0","0"
"1","1","2","0","0","5","1","0","5","0","0"
"1","1","3","0","0","5","1","0","5","0","0"
"1","1","4","0","0","5","1","0","5","0","0"
"1","1","5","0","0","6","2","0","6","0","0"
"1","1","6","0","0","6","2","0","6","0","0"
"1","1","7","0","0","7","2","0","7","0","0"
"1","1","8","0","7","8","2","6.62","6.029","6.195","0.981"
"1","1","9","0","15","9","3","14.205","7.521","13.208","7.865"
"1","1","10","0","13","10","3","12.318","8.512","11.404","6.095"
"1","1","11","0","44","11","4","41.762","10.343","38.353","32.534"
"1","1","12","0","25","11","4","23.712","10.004","21.809","16.307"
"1","1","13","0","67","11","3","63.641","10.829","58.322","52.108"
"1","1","14","0","36","11","3","34.137","10.208","31.37","25.685"
"1","1","15","0","34","11","2","32.232","9.937","29.654","24.003"
"1","1","16","0","6","11","1","5.673","8.758","5.246","0.049"
"1","1","17","0","0","11","1","0","11","0","0"
"1","1","18","0","0","10","2","0","10","0","0"
"1","1","19","0","0","10","1","0","10","0","0"
"1","1","20","0","0","9","1","0","9","0","0"
"1","1","21","0","0","9","1","0","9","0","0"
"1","1","22","0","0","9","1","0","9","0","0"
"1","1","23","0","0","9","1","0","9","0","0"
"1","2","0","0","0","8","1","0","8","0","0"
"1","2","1","0","0","8","1","0","8","0","0"
"1","2","2","0","0","8","1","0","8","0","0"
"1","2","3","0","0","8","1","0","8","0","0"
"1","2","4","0","0","8","1","0","8","0","0"
"1","2","5","0","0","8","1","0","8","0","0"
"1","2","6","0","0","8","1","0","8","0","0"
"1","2","7","0","0","8","1","0","8","0","0"
"1","2","8","0","41","9","1","38.906","7.656","36.153","30.377"
"1","2","9","0","21","10","1","19.894","8.253","18.438","12.998"
"1","2","10","0","76","11","1","72.214","10.952","66.143","59.77"
"1","2","11","0","42","11","1","39.861","10.15","36.638","30.853"
"1","2","12","9","177","10","2","183.564","13.185","166.432","157.822"
"1","2","13","0","103","10","2","99.198","11.353","90.698","83.812"
"1","2","14","0","6","9","3","5.681","7.568","5.281","0.084"
"1","2","15","0","64","9","2","62.072","8.638","57.433","51.237"
"1","2","16","0","16","8","2","15.157","6.504","14.155","8.795"
"1","2","17","0","0","8","2","0","8","0","0"
"1","2","18","0","0","8","2","0","8","0","0"
"1","2","19","0","0","8","1","0","8","0","0"
"1","2","20","0","0","7","1","0","7","0","0"
"1","2","21","0","0","6","1","0","6","0","0"
"1","2","22","0","0","6","1","0","6","0","0"
"1","2","23","0","0","6","1","0","6","0","0"
"1","3","0","0","0","6","1","0","6","0","0"
"1","3","1","0","0","6","1","0","6","0","0"
"1","3","2","0","0","5","1","0","5","0","0"
"1","3","3","0","0","5","1","0","5","0","0"
"1","3","4","0","0","5","1","0","5","0","0"
"1","3","5","0","0","5","1","0","5","0","0"
"1","3","6","0","0","5","1","0","5","0","0"
"1","3","7","0","0","6","1","0","6","0","0"
"1","3","8","0","10","7","1","9.46","4.597","8.908","3.644"
"1","3","9","0","62","8","1","58.873","7.371","54.774","48.632"
"1","3","10","485","142","10","1","509.668","24.344","435.092","418.645"
"1","3","11","86","217","11","2","298.052","18.974","262.889","251.774"
"1","3","12","9","177","12","1","183.505","17.199","163.405","154.868"
"1","3","13","5","160","12","1","163.005","15.919","145.996","137.872"
"1","3","14","0","117","11","1","115.501","13.225","104.73","97.541"
"1","3","15","0","60","10","1","57.734","9.991","53.104","46.994"
"1","3","16","0","14","10","1","13.257","8.137","12.293","6.967"
"1","3","17","0","0","10","1","0","10","0","0"
"1","3","18","0","0","10","1","0","10","0","0"
"1","3","19","0","0","10","1","0","10","0","0"
"1","3","20","0","0","10","1","0","10","0","0"
"1","3","21","0","0","10","1","0","10","0","0"
"1","3","22","0","0","10","1","0","10","0","0"
"1","3","23","0","0","9","1","0","9","0","0"
"1","4","0","0","0","9","0","0","9","0","0"
"1","4","1","0","0","9","0","0","9","0","0"
"1","4","2","0","0","9","0","0","9","0","0"
"1","4","3","0","0","9","0","0","9","0","0"
"1","4","4","0","0","8","0","0","8","0","0"
"1","4","5","0","0","8","0","0","8","0","0"
