"PVWatts: Hourly PV Performance Data"
"Requested Location:","San Jose, CA"
"Location:","Lat, Lon: 37.33, -121.9"
"Lat (deg N):","37.33"
"Long (deg W):","121.9"
"Elev (m):","24.375"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.5"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","1","0","6","0","0"
"1","1","1","0","0","6","2","0","6","0","0"
"1","1","2","0","0","6","2","0","6","0","0"
"1","1","3","0","0","6","2","0","6","0","0"
"1","1","4","0","0","6","2","0","6","0","0"
"1","1","5","0","0","6","3","0","6","0","0"
"1","1","6","0","0","7","3","0","7","0","0"
"1","1","7","0","0","8","4","0","8","0","0"
"1","1","8","0","3","9","5","2.836","7.625","2.636","0"
"1","1","9","0","18","10","6","17.048","9.043","15.746","10.357"
"1","1","10","0","42","11","6","39.847","10.475","36.574","30.789"
"1","1","11","0","36","11","6","34.157","10.404","31.361","25.677"
"1","1","12","0","53","11","6","50.322","10.683","46.146","40.175"
"1","1","13","0","44","11","6","41.754","10.553","38.311","32.493"
"1","1","14","0","39","12","6","36.987","11.467","33.801","28.07"
"1","1","15","0","22","12","5","20.836","11.075","19.074","13.623"
"1","1","16","0","18","12","3","17.059","10.684","15.643","10.255"
"1","1","17","0","0","11","2","0","11","0","0"
"1","1","18","0","0","10","2","0","10","0","0"
"1","1","19","0","0","10","2","0","10","0","0"
"1","1","20","0","0","9","2","0","9","0","0"
"1","1","21","0","0","9","2","0","9","0","0"
"1","1","22","0","0","9","1","0","9","0","0"
"1","1","23","0","0","9","1","0","9","0","0"
"1","2","0","0","0","8","1","0","8","0","0"
"1","2","1","0","0","8","1","0","8","0","0"
"1","2","2","0","0","8","1","0","8","0","0"
"1","2","3","0","0","8","1","0","8","0","0"
"1","2","4","0","0","9","1","0","9","0","0"
"1","2","5","0","0","8","1","0","8","0","0"
"1","2","6","0","0","8","1","0","8","0","0"
"1","2","7","0","0","8","1","0","8","0","0"
"1","2","8","59","67","9","1","99.839","9.744","89.642","82.779"
"1","2","9","14","119","9","1","127.585","11.254","116.433","108.985"
"1","2","10","0","26","10","1","24.65","8.927","22.779","17.258"
"1","2","11","0","22","11","1","20.862","9.231","19.253","13.798"
"1","2","12","0","31","10","2","29.409","8.789","27.194","21.589"
"1","2","13","0","38","9","4","36.051","8.228","33.417","27.693"
"1","2","14","0","6","9","5","5.681","7.742","5.277","0.08"
"1","2","15","0","51","9","4","48.412","8.453","44.83","38.885"
"1","2","16","0","8","9","3","7.566","7.473","7.037","1.807"
