"PVWatts: Hourly PV Performance Data"
"Requested Location:","Sunnyvale, CA"
"Location:","Lat, Lon: 37.37, -122.02"
"Lat (deg N):","37.37"
"Long (deg W):","122.02"
"Elev (m):","30.799999237061"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","18.5"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6","1","0","6","0","0"
"1","1","1","0","0","6","1","0","6","0","0"
"1","1","2","0","0","5","0","0","5","0","0"
"1","1","3","0","0","5","0","0","5","0","0"
"1","1","4","0","0","5","1","0","5","0","0"
"1","1","5","0","0","5","1","0","5","0","0"
"1","1","6","0","0","5","1","0","5","0","0"
"1","1","7","0","0","6","1","0","6","0","0"
"1","1","8","474","55","8","1","257.726","14.031","858.927","819.643"
"1","1","9","663","80","9","2","475.201","20.903","1615.432","1553.843"
"1","1","10","330","166","9","2","418.957","20.137","1460.655","1404.062"
"1","1","11","36","195","10","2","234.413","15.937","839.143","800.371"
"1","1","12","29","195","10","2","229.013","15.137","822.968","784.612"
"1","1","13","230","195","10","2","383.137","19.316","1345.275","1292.262"
"1","1","14","17","137","9","1","148.235","13.512","535.986","504.604"
"1","1","15","257","86","8","0","220.692","16.064","760.343","723.574"
"1","1","16","0","24","7","0","23.132","7.672","85.976","63.988"
"1","1","17","0","0","7","0","0","7","0","0"
"1","1","18","0","0","7","0","0","7","0","0"
"1","1","19","0","0","7","0","0","7","0","0"
"1","1","20","0","0","7","0","0","7","0","0"
"1","1","21","0","0","7","0","0","7","0","0"
"1","1","22","0","0","7","0","0","7","0","0"
"1","1","23","0","0","7","1","0","7","0","0"
"1","2","0","0","0","7","1","0","7","0","0"
"1","2","1","0","0","7","1","0","7","0","0"
"1","2","2","0","0","7","1","0","7","0","0"
"1","2","3","0","0","7","1","0","7","0","0"
"1","2","4","0","0","7","1","0","7","0","0"
"1","2","5","0","0","7","1","0","7","0","0"
"1","2","6","0","0","7","1","0","7","0","0"
"1","2","7","0","0","7","1","0","7","0","0"
"1","2","8","0","35","7","2","33.196","5.766","124.4","101.683"
"1","2","9","118","132","8","2","214.238","12.002","772.145","735.079"
"1","2","10","46","174","8","2","216.809","12.729","786.358","748.934"
"1","2","11","18","182","8","2","196.292","12.169","714.89","679.25"
"1","2","12","0","147","8","2","144.575","10.654","530.378","499.125"
"1","2","13","0","124","8","2","121.048","9.805","445.729","416.382"
"1","2","14","0","16","8","1","15.157","6.525","56.613","35.173"
"1","2","15","0","83","7","1","83.174","7.227","309.732","283.308"
"1","2","16","0","9","7","1","8.514","5.053","32.004","11.016"
"1","2","17","0","0","7","1","0","7","0","0"
"1","2","18","0","0","6","1","0","6","0","0"
"1","2","19","0","0","6","1","0","6","0","0"
"1","2","20","0","0","6","1","0","6","0","0"
"1","2","21","0","0","6","1","0","6","0","0"
"1","2","22","0","0","6","1","0","6","0","0"
"1","2","23","0","0","6","1","0","6","0","0"
"1","3","0","0","0","6","1","0","6","0","0"
"1","3","1","0","0","6","0","0","6","0","0"
"1","3","2","0","0","5","0","0","5","0","0"
"1","3","3","0","0","5","0","0","5","0","0"
"1","3","4","0","0","5","0","0","5","0","0"
"1","3","5","0","0","6","0","0","6","0","0"
"1","3","6","0","0","6","0","0","6","0","0"
"1","3","7","0","0","6","0","0","6","0","0"
"1","3","8","256","61","6","0","179.329","10.572","618.169","584.868"
"1","3","9","324","117","7","1","317.649","15.95","1113.477","1067.282"
"1","3","10","840","72","8","1","668.598","28.463","2230.829","2147.171"
"1","3","11","358","193","9","1","495.035","25.846","1687.004","1623.028"
"1","3","12","91","220","10","0","306.089","24.35","1053.439","1008.928"
"1","3","13","407","169","10","0","500.337","29.687","1670.702","1607.274"
"1","3","14","359","136","10","0","389.248","27.307","1304.333","1252.56"
"1","3","15","633","57","9","0","371.348","24.877","1207.282","1158.388"
"1","3","16","305","28","7","0","128.092","13.768","400.61","372.252"
"1","3","17","0","0","6","0","0","6","0","0"
"1","3","18","0","0","5","1","0","5","0","0"
"1","3","19","0","0","5","1","0","5","0","0"
"1","3","20","0","0","5","0","0","5","0","0"
"1","3","21","0","0","5","0","0","5","0","0"
"1","3","22","0","0","5","0","0","5","0","0"
"1","3","23","0","0","5","0","0","5","0","0"
"1","4","0","0","0","5","0","0","5","0","0"
"1","4","1","0","0","5","0","0","5","0","0"
"1","4","2","0","0","5","0","0","5","0","0"
"1","4","3","0","0","5","0","0","5","0","0"
"1","4","4","0","0","5","0","0","5","0","0"
