"PVWatts: Hourly PV Performance Data"
"Requested Location:","Red Bluff, CA"
"Location:","Lat, Lon: 40.17, -122.22"
"Lat (deg N):","40.17"
"Long (deg W):","122.22"
"Elev (m):","91.23999786377"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","17.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3","3","0","3","0","0"
"1","1","1","0","0","2","3","0","2","0","0"
"1","1","2","0","0","2","3","0","2","0","0"
"1","1","3","0","0","2","4","0","2","0","0"
"1","1","4","0","0","2","4","0","2","0","0"
"1","1","5","0","0","2","4","0","2","0","0"
"1","1","6","0","0","2","4","0","2","0","0"
"1","1","7","0","0","2","3","0","2","0","0"
"1","1","8","433","44","2","3","217.861","5.534","742.068","705.755"
"1","1","9","661","66","3","2","438.013","13.872","1525.462","1466.804"
"1","1","10","729","87","4","2","590.487","19.72","2046.829","1970.138"
"1","1","11","832","79","5","2","704.454","24.198","2407.117","2316.489"
"1","1","12","874","69","5","2","728.232","25.191","2478.552","2385.016"
"1","1","13","0","82","5","2","78.248","7.759","290.715","264.686"
"1","1","14","818","52","5","1","545.609","20.696","1860.166","1790.222"
"1","1","15","674","43","4","1","352.393","16.039","1175.528","1127.556"
"1","1","16","299","19","2","1","110.546","5.128","350.115","322.841"
"1","1","17","0","0","2","1","0","2","0","0"
"1","1","18","0","0","1","1","0","1","0","0"
"1","1","19","0","0","1","1","0","1","0","0"
"1","1","20","0","0","1","1","0","1","0","0"
"1","1","21","0","0","1","1","0","1","0","0"
"1","1","22","0","0","0","1","0","0","0","0"
"1","1","23","0","0","0","1","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0"
"1","2","1","0","0","0","0","0","0","0","0"
"1","2","2","0","0","0","0","0","0","0","0"
"1","2","3","0","0","0","0","0","0","0","0"
"1","2","4","0","0","0","0","0","0","0","0"
"1","2","5","0","0","0","0","0","0","0","0"
"1","2","6","0","0","0","1","0","0","0","0"
"1","2","7","0","0","0","0","0","0","0","0"
"1","2","8","145","52","0","0","117.684","1.4","423.644","394.783"
"1","2","9","610","76","1","1","422.448","13.118","1478.592","1421.432"
"1","2","10","0","15","2","1","14.21","2.245","54.06","32.666"
"1","2","11","19","167","2","1","182.182","5.578","682.707","647.855"
"1","2","12","1","150","3","1","150.032","6.462","560.528","528.579"
"1","2","13","362","156","3","1","432.906","15.572","1540.679","1481.531"
"1","2","14","383","114","3","0","368.563","19.381","1275.462","1224.554"
"1","2","15","305","70","2","0","225.163","12.623","779.396","742.148"
"1","2","16","100","20","2","0","57.669","4.221","195.668","171.564"
"1","2","17","0","0","1","0","0","1","0","0"
"1","2","18","0","0","0","0","0","0","0","0"
"1","2","19","0","0","0","0","0","0","0","0"
"1","2","20","0","0","0","1","0","0","0","0"
"1","2","21","0","0","-1","1","0","-1","0","0"
"1","2","22","0","0","-2","1","0","-2","0","0"
"1","2","23","0","0","-3","1","0","-3","0","0"
"1","3","0","0","0","-3","1","0","-3","0","0"
"1","3","1","0","0","-4","1","0","-4","0","0"
"1","3","2","0","0","-4","2","0","-4","0","0"
"1","3","3","0","0","-4","1","0","-4","0","0"
"1","3","4","0","0","-4","1","0","-4","0","0"
"1","3","5","0","0","-4","1","0","-4","0","0"
"1","3","6","0","0","-5","1","0","-5","0","0"
"1","3","7","0","0","-4","1","0","-4","0","0"
"1","3","8","609","33","-2","2","264.891","3.321","895.992","855.739"
"1","3","9","794","49","0","2","484.773","12.384","1693.826","1629.621"
"1","3","10","816","71","1","2","625.352","17.915","2183.747","2101.902"
"1","3","11","857","76","2","2","720.077","21.854","2487.576","2393.67"
"1","3","12","868","76","3","2","739.877","23.64","2537.478","2441.509"
"1","3","13","868","66","3","1","687.88","26.255","2320.678","2233.503"
"1","3","14","809","58","3","0","554.835","27.629","1833.673","1764.661"
"1","3","15","680","44","2","0","359.133","19.132","1183.59","1135.385"
"1","3","16","344","19","1","0","121.563","7.552","377.953","350.084"
"1","3","17","0","0","0","0","0","0","0","0"
"1","3","18","0","0","0","0","0","0","0","0"
"1","3","19","0","0","0","0","0","0","0","0"
"1","3","20","0","0","0","0","0","0","0","0"
"1","3","21","0","0","0","0","0","0","0","0"
"1","3","22","0","0","0","0","0","0","0","0"
"1","3","23","0","0","-1","0","0","-1","0","0"
"1","4","0","0","0","-1","0","0","-1","0","0"
"1","4","1","0","0","-1","0","0","-1","0","0"
"1","4","2","0","0","-1","0","0","-1","0","0"
"1","4","3","0","0","-1","0","0","-1","0","0"
"1","4","4","0","0","-1","0","0","-1","0","0"
"1","4","5","0","0","0","0","0","0","0","0"
"1","4","6","0","0","0","0","0","0","0","0"
"1","4","7","0","0","0","0","0","0","0","0"
"1","4","8","0","41","0","0","40.02","-2.765","155.49","132.174"
"1","4","9","64","112","2","0","154.001","5.823","571.081","538.887"
"1","4","10","165","163","3","0","291.545","14.013","1046.117","1001.809"
"1","4","11","274","184","4","0","415.168","20.848","1447.105","1390.938"
"1","4","12","863","73","4","0","733.735","32.547","2411.887","2321.066"
"1","4","13","776","87","5","0","650.494","32.857","2127.832","2048.113"
"1","4","14","685","81","4","0","513.228","26.95","1706.007","1641.39"
"1","4","15","552","59","3","0","324.112","18.503","1079.55","1034.311"
"1","4","16","187","24","1","0","86.68","5.762","284.315","258.418"
"1","4","17","0","0","0","0","0","0","0","0"
"1","4","18","0","0","0","0","0","0","0","0"
"1","4","19","0","0","0","0","0","0","0","0"
"1","4","20","0","0","0","0","0","0","0","0"
"1","4","21","0","0","0","1","0","0","0","0"
"1","4","22","0","0","-1","1","0","-1","0","0"
"1","4","23","0","0","-1","1","0","-1","0","0"
"1","5","0","0","0","-1","1","0","-1","0","0"
"1","5","1","0","0","-1","1","0","-1","0","0"
"1","5","2","0","0","-2","1","0","-2","0","0"
"1","5","3","0","0","-2","1","0","-2","0","0"
"1","5","4","0","0","-2","1","0","-2","0","0"
"1","5","5","0","0","-2","1","0","-2","0","0"
"1","5","6","0","0","-2","1","0","-2","0","0"
"1","5","7","0","0","-1","1","0","-1","0","0"
"1","5","8","355","44","0","2","189.168","3.16","654.191","620.029"
"1","5","9","240","108","1","2","255.125","6.736","930.065","888.91"
"1","5","10","798","70","4","1","613.163","22.678","2095.078","2016.59"
"1","5","11","837","76","5","1","707.18","28.119","2372.568","2283.328"
"1","5","12","834","79","6","1","720.804","29.88","2400.731","2310.359"
"1","5","13","787","81","6","1","652.733","27.945","2186.374","2104.428"
"1","5","14","226","135","5","1","294.215","15.724","1040.919","996.755"
"1","5","15","587","54","3","0","335.254","17.013","1122.897","1076.434"
"1","5","16","104","23","2","0","63.539","5.901","215.485","190.986"
"1","5","17","0","0","1","0","0","1","0","0"
"1","5","18","0","0","1","0","0","1","0","0"
"1","5","19","0","0","1","0","0","1","0","0"
"1","5","20","0","0","1","0","0","1","0","0"
"1","5","21","0","0","1","0","0","1","0","0"
"1","5","22","0","0","1","1","0","1","0","0"
"1","5","23","0","0","1","1","0","1","0","0"
"1","6","0","0","0","1","0","0","1","0","0"
"1","6","1","0","0","1","0","0","1","0","0"
"1","6","2","0","0","2","0","0","2","0","0"
"1","6","3","0","0","3","0","0","3","0","0"
"1","6","4","0","0","2","0","0","2","0","0"
"1","6","5","0","0","2","0","0","2","0","0"
"1","6","6","0","0","1","0","0","1","0","0"
"1","6","7","0","0","2","0","0","2","0","0"
"1","6","8","0","2","4","0","1.89","-0.447","7.273","0"
"1","6","9","0","37","5","0","35.082","2.095","133.548","110.656"
"1","6","10","27","150","6","0","177.331","10.876","648.655","614.626"
"1","6","11","4","154","7","0","156.676","12.735","569.39","537.235"
"1","6","12","9","164","6","0","170.997","12.14","622.974","589.559"
"1","6","13","88","181","6","0","256.162","15.741","915.668","874.896"
"1","6","14","0","85","6","0","82.233","9.597","303.078","276.793"
"1","6","15","0","69","5","0","68.458","5.453","256.892","231.558"
"1","6","16","0","6","3","0","5.673","-0.279","21.813","1.011"
"1","6","17","0","0","3","0","0","3","0","0"
"1","6","18","0","0","3","0","0","3","0","0"
"1","6","19","0","0","3","0","0","3","0","0"
"1","6","20","0","0","3","0","0","3","0","0"
"1","6","21","0","0","2","0","0","2","0","0"
"1","6","22","0","0","2","1","0","2","0","0"
"1","6","23","0","0","2","1","0","2","0","0"
"1","7","0","0","0","2","2","0","2","0","0"
"1","7","1","0","0","2","2","0","2","0","0"
"1","7","2","0","0","2","2","0","2","0","0"
"1","7","3","0","0","2","2","0","2","0","0"
"1","7","4","0","0","2","1","0","2","0","0"
"1","7","5","0","0","2","1","0","2","0","0"
"1","7","6","0","0","2","0","0","2","0","0"
"1","7","7","0","0","2","0","0","2","0","0"
"1","7","8","310","56","3","1","185.948","6.624","640.244","606.416"
"1","7","9","564","84","3","1","406.768","14.925","1414.345","1359.203"
"1","7","10","0","50","4","1","47.449","5.289","178.179","154.419"
"1","7","11","0","54","4","1","51.264","3.268","194.178","170.103"
"1","7","12","0","29","4","1","27.504","2.462","104.537","82.199"
"1","7","13","0","33","4","1","31.296","2.45","118.957","96.345"
"1","7","14","0","117","4","1","116.808","5.443","438.345","409.161"
"1","7","15","0","35","4","1","33.185","3.056","125.812","103.068"
"1","7","16","0","9","4","1","8.515","1.694","32.468","11.472"
"1","7","17","0","0","4","1","0","4","0","0"
"1","7","18","0","0","5","2","0","5","0","0"
"1","7","19","0","0","5","2","0","5","0","0"
"1","7","20","0","0","5","2","0","5","0","0"
"1","7","21","0","0","5","2","0","5","0","0"
"1","7","22","0","0","5","2","0","5","0","0"
"1","7","23","0","0","5","2","0","5","0","0"
"1","8","0","0","0","5","2","0","5","0","0"
"1","8","1","0","0","5","2","0","5","0","0"
"1","8","2","0","0","5","2","0","5","0","0"
"1","8","3","0","0","5","2","0","5","0","0"
"1","8","4","0","0","6","2","0","6","0","0"
"1","8","5","0","0","6","2","0","6","0","0"
"1","8","6","0","0","6","2","0","6","0","0"
"1","8","7","0","0","6","1","0","6","0","0"
"1","8","8","0","3","6","1","2.835","3.345","10.736","0"
"1","8","9","0","72","7","1","69.577","6.681","259.711","234.319"
"1","8","10","0","26","7","1","24.645","5.528","92.451","70.341"
"1","8","11","0","80","8","1","76.03","8.051","282.114","256.263"
"1","8","12","16","172","8","0","184.856","13.748","668.52","634.012"
"1","8","13","39","172","9","0","211.002","17.026","751.052","714.516"
"1","8","14","0","102","9","1","100.235","10.966","367.211","339.573"
"1","8","15","41","85","8","0","109.632","10.728","396.991","368.711"
"1","8","16","0","16","7","0","15.159","4.964","57.004","35.556"
"1","8","17","0","0","7","0","0","7","0","0"
"1","8","18","0","0","6","0","0","6","0","0"
"1","8","19","0","0","6","0","0","6","0","0"
"1","8","20","0","0","6","0","0","6","0","0"
"1","8","21","0","0","5","0","0","5","0","0"
"1","8","22","0","0","5","0","0","5","0","0"
"1","8","23","0","0","5","0","0","5","0","0"
"1","9","0","0","0","5","0","0","5","0","0"
"1","9","1","0","0","5","0","0","5","0","0"
"1","9","2","0","0","5","0","0","5","0","0"
"1","9","3","0","0","5","0","0","5","0","0"
"1","9","4","0","0","4","0","0","4","0","0"
"1","9","5","0","0","4","0","0","4","0","0"
"1","9","6","0","0","4","0","0","4","0","0"
"1","9","7","0","0","5","1","0","5","0","0"
"1","9","8","0","12","7","1","11.354","4.661","42.752","21.567"
"1","9","9","0","19","8","2","17.994","6.393","67.249","45.611"
"1","9","10","0","23","9","2","21.798","7.545","81.062","59.166"
"1","9","11","0","28","9","2","26.553","7.693","98.679","76.451"
"1","9","12","0","60","9","2","56.977","8.572","210.939","186.531"
"1","9","13","0","8","9","2","7.579","7.288","28.215","7.296"
"1","9","14","0","12","9","1","11.364","6.756","42.403","21.225"
"1","9","15","28","84","8","0","102.344","8.908","374.884","347.081"
"1","9","16","0","1","7","0","0.944","4.098","3.565","0"
"1","9","17","0","0","6","0","0","6","0","0"
"1","9","18","0","0","6","0","0","6","0","0"
"1","9","19","0","0","6","0","0","6","0","0"
"1","9","20","0","0","7","0","0","7","0","0"
"1","9","21","0","0","6","0","0","6","0","0"
"1","9","22","0","0","6","0","0","6","0","0"
"1","9","23","0","0","6","0","0","6","0","0"
"1","10","0","0","0","6","0","0","6","0","0"
"1","10","1","0","0","5","0","0","5","0","0"
"1","10","2","0","0","5","0","0","5","0","0"
"1","10","3","0","0","4","0","0","4","0","0"
"1","10","4","0","0","4","0","0","4","0","0"
"1","10","5","0","0","4","0","0","4","0","0"
"1","10","6","0","0","4","0","0","4","0","0"
"1","10","7","0","0","4","0","0","4","0","0"
"1","10","8","38","53","6","1","70.422","5.677","257.354","232.01"
"1","10","9","0","95","7","2","94.543","7.773","351.236","323.938"
"1","10","10","199","166","8","2","317.173","15.067","1132.057","1085.333"
"1","10","11","307","185","8","1","441.483","21.549","1533.859","1474.93"
"1","10","12","300","193","8","1","450.8","22.45","1560.995","1501.188"
"1","10","13","309","173","8","0","420.75","26.106","1428.96","1373.363"
"1","10","14","210","143","9","0","296.052","22.437","1017.598","974.077"
"1","10","15","302","79","8","0","239.583","18.286","814.009","775.882"
"1","10","16","74","30","8","0","60.884","10.492","207.96","183.611"
"1","10","17","0","0","7","0","0","7","0","0"
"1","10","18","0","0","7","0","0","7","0","0"
"1","10","19","0","0","7","0","0","7","0","0"
"1","10","20","0","0","7","0","0","7","0","0"
"1","10","21","0","0","7","0","0","7","0","0"
"1","10","22","0","0","7","0","0","7","0","0"
"1","10","23","0","0","6","0","0","6","0","0"
"1","11","0","0","0","6","0","0","6","0","0"
"1","11","1","0","0","6","0","0","6","0","0"
"1","11","2","0","0","6","0","0","6","0","0"
"1","11","3","0","0","6","0","0","6","0","0"
"1","11","4","0","0","6","0","0","6","0","0"
"1","11","5","0","0","5","0","0","5","0","0"
"1","11","6","0","0","5","0","0","5","0","0"
"1","11","7","0","0","5","0","0","5","0","0"
"1","11","8","419","47","6","1","214.17","10.583","714.146","678.525"
"1","11","9","647","70","8","2","435.657","18.708","1485.768","1428.379"
"1","11","10","755","80","9","2","600.093","24.809","2032.191","1956.041"
"1","11","11","801","85","11","1","697.63","33.428","2283.039","2197.346"
"1","11","12","460","164","12","1","547.451","30.409","1823.633","1754.972"
"1","11","13","804","77","12","1","669.684","33.333","2187.778","2105.778"
"1","11","14","745","69","12","0","543.653","35.5","1736.347","1670.699"
"1","11","15","619","54","10","0","358.468","26.59","1153.729","1106.385"
"1","11","16","318","26","8","0","128.823","14.649","398.769","370.45"
"1","11","17","0","0","7","0","0","7","0","0"
"1","11","18","0","0","7","0","0","7","0","0"
"1","11","19","0","0","6","0","0","6","0","0"
"1","11","20","0","0","6","0","0","6","0","0"
"1","11","21","0","0","6","0","0","6","0","0"
"1","11","22","0","0","5","0","0","5","0","0"
"1","11","23","0","0","5","0","0","5","0","0"
"1","12","0","0","0","5","0","0","5","0","0"
"1","12","1","0","0","5","0","0","5","0","0"
"1","12","2","0","0","5","0","0","5","0","0"
"1","12","3","0","0","5","0","0","5","0","0"
"1","12","4","0","0","5","0","0","5","0","0"
"1","12","5","0","0","5","0","0","5","0","0"
"1","12","6","0","0","5","0","0","5","0","0"
"1","12","7","0","0","6","0","0","6","0","0"
"1","12","8","443","41","8","0","216.371","14.227","706.63","671.194"
"1","12","9","406","94","9","0","333.656","22.045","1128.271","1081.655"
