"PVWatts: Hourly PV Performance Data"
"Requested Location:","Bishop, CA"
"Location:","Lat, Lon: 37.37, -118.38"
"Lat (deg N):","37.37"
"Long (deg W):","118.38"
"Elev (m):","1261.3199462891"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.130"
"Capacity Factor (%)","20.6"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","1","0","0","0","0"
"1","1","1","0","0","0","1","0","0","0","0"
"1","1","2","0","0","0","1","0","0","0","0"
"1","1","3","0","0","0","1","0","0","0","0"
"1","1","4","0","0","0","1","0","0","0","0"
"1","1","5","0","0","0","1","0","0","0","0"
"1","1","6","0","0","0","1","0","0","0","0"
"1","1","7","0","39","0","1","44.664","-1.284","43.116","37.204"
"1","1","8","768","44","2","1","391.491","12.704","330.543","317.466"
"1","1","9","632","85","4","1","486.519","19.452","419.034","403.131"
"1","1","10","644","114","6","2","601.725","22.116","518.972","499.529"
"1","1","11","937","80","7","2","813.399","28.967","681.234","655.252"
"1","1","12","937","78","7","2","808.53","29.516","675.248","649.525"
"1","1","13","916","71","7","2","727.513","27.418","610.604","587.589"
"1","1","14","848","62","5","1","573.968","24.694","480.065","462.045"
"1","1","15","694","47","2","1","351.58","14.234","293.338","281.361"
"1","1","16","0","25","0","1","25.459","0.211","24.423","18.87"
"1","1","17","0","0","0","1","0","0","0","0"
"1","1","18","0","0","-1","1","0","-1","0","0"
"1","1","19","0","0","-1","1","0","-1","0","0"
"1","1","20","0","0","-1","1","0","-1","0","0"
"1","1","21","0","0","-2","1","0","-2","0","0"
"1","1","22","0","0","-2","1","0","-2","0","0"
"1","1","23","0","0","-1","1","0","-1","0","0"
"1","2","0","0","0","-1","1","0","-1","0","0"
"1","2","1","0","0","-1","1","0","-1","0","0"
"1","2","2","0","0","-2","1","0","-2","0","0"
"1","2","3","0","0","-2","1","0","-2","0","0"
"1","2","4","0","0","-2","1","0","-2","0","0"
"1","2","5","0","0","-2","0","0","-2","0","0"
"1","2","6","0","0","-2","0","0","-2","0","0"
"1","2","7","395","18","-1","0","129.432","1.487","101.279","94.165"
"1","2","8","762","43","1","0","387.25","15.522","322.733","309.891"
